sigma,PSNR,Mean PSNR,Noise PSNR,PSNR stddev,Mean PSNR stddev,Noise PSNR stddev,SSIM,Mean SSIM,Noise SSIM,SSIM stddev,Mean SSIM stddev,Noise SSIM stddev
20,33.36094247763582,31.85494535638163,22.467140271837014,2.0931135564084977,2.8493932585491706,0.26085941242294086,0.9143553958033709,0.8943169204577978,0.42911551490086447,0.018616267177364733,0.026094356989912543,0.0927140838805839
30,32.00716528169678,30.94613307101468,19.182023359924848,2.2388229555827626,2.8130162432723034,0.3367158584747397,0.8886082516708742,0.870047702642541,0.3020794667294061,0.026503079138942356,0.032400520922991186,0.0863900344134488
40,30.822483102471885,30.02306056276162,16.929510636627878,2.268568686474945,2.7205483537546797,0.36576042083974375,0.86152749721575,0.8441704925450664,0.22699418861635295,0.032583832354073444,0.03827961894205871,0.07478262874483388
50,29.892867017948586,29.25526763502452,15.238340551644125,2.2773476967945627,2.6460934218436836,0.36196766372812,0.8363764396059309,0.8200736125606188,0.1778800935906799,0.03811109525411858,0.04347945972927971,0.06355500711043216
60,29.133120757467374,28.60644263658853,13.900299654857054,2.271098455936576,2.578812396028409,0.3392080499780179,0.8131689163914322,0.7978550531921856,0.14361555812416216,0.04294116840923873,0.04795364390299073,0.05397200811381217
70,28.492410872229986,28.047073726524,12.808501911474593,2.2590958935729346,2.520137984770984,0.3038292853727915,0.7919139673679024,0.7775223967464128,0.11864137068449604,0.0467543345559453,0.05154521951037633,0.046042098195274606
80,27.942725892553494,27.559092612900216,11.903290855998977,2.243878390382559,2.468014496052032,0.26283968593415963,0.7725024636430603,0.7589628229112944,0.09991065525971579,0.04957601472414832,0.05422908756435739,0.03960582236595149
